Plant,Date,Quarter,Yield,Uptime,Throughput,TotalThroughput,Changeovers
10,01/31/14,1,81,91.0,90.6,453,1
10,02/28/14,1,85,92.0,95.0,475,0
10,03/31/14,1,88,89.0,91.8,459,1
10,04/30/14,2,90,94.0,94.4,472,0
10,05/31/14,2,86,91.0,94.2,471,1
10,06/30/14,2,88,86.8,91.2,456,2
10,07/31/14,3,92,91.9,93.2,466,1
10,08/31/14,3,88,81.3,90.2,451,3
10,09/30/14,3,84,93.0,91.8,459,0
10,10/31/14,4,83,91.0,92.2,461,1
10,11/30/14,4,87,91.8,92.4,462,1
10,12/31/14,4,85,87.1,91.8,459,1
14,01/31/14,1,81,91.0,96.0,672,0
14,02/28/14,1,92,87.7,95.3,667,2
14,03/31/14,1,88,86.2,93.0,651,3
14,04/30/14,2,95,89.0,95.4,668,2
14,05/31/14,2,87,93.0,93.6,655,1
14,06/30/14,2,90,86.1,94.7,663,2
14,07/31/14,3,87,95.0,95.1,666,0
14,08/31/14,3,92,84.3,96.4,675,3
14,09/30/14,3,85,89.9,93.9,657,2
14,10/31/14,4,91,90.0,94.4,661,0
14,11/30/14,4,88,88.0,94.7,663,2
14,12/31/14,4,90,90.1,96.3,674,2
15,01/31/14,1,92,90.7,96.4,964,1
15,02/28/14,1,81,89.0,96.0,960,2
15,03/31/14,1,87,89.9,95.9,959,3
15,04/30/14,2,93,90.2,96.0,960,2
15,05/31/14,2,90,84.9,95.2,952,6
15,06/30/14,2,89,89.3,97.2,972,4
15,07/31/14,3,86,82.2,97.0,970,6
15,08/31/14,3,86,86.3,96.5,965,5
15,09/30/14,3,88,88.8,97.4,974,3
15,10/31/14,4,87,95.0,97.0,970,0
15,11/30/14,4,90,94.0,95.4,954,0
15,12/31/14,4,86,83.1,95.4,954,6
17,01/31/14,1,85,81.3,97.1,971,4
17,02/28/14,1,84,85.2,95.7,957,2
17,03/31/14,1,81,94.0,97.0,970,0
17,04/30/14,2,85,91.0,95.9,959,0
17,05/31/14,2,90,85.6,95.0,950,2
17,06/30/14,2,85,93.0,96.3,963,0
17,07/31/14,3,93,91.7,96.0,960,1
17,08/31/14,3,95,84.4,95.1,951,3
17,09/30/14,3,90,78.8,96.2,962,5
17,10/31/14,4,84,87.2,95.5,955,3
17,11/30/14,4,94,93.0,96.7,967,0
17,12/31/14,4,85,84.0,95.8,958,4
22,01/31/14,1,85,87.5,97.9,1567,2
22,02/28/14,1,91,82.3,97.1,1554,5
22,03/31/14,1,92,88.5,97.3,1556,2
22,04/30/14,2,86,80.8,96.9,1551,6
22,05/31/14,2,88,82.6,97.2,1555,5
22,06/30/14,2,93,89.3,97.6,1562,2
22,07/31/14,3,82,84.4,97.9,1566,3
22,08/31/14,3,93,82.6,97.3,1556,5
22,09/30/14,3,84,88.7,97.8,1565,1
22,10/31/14,4,94,90.0,98.3,1573,0
22,11/30/14,4,83,82.8,97.4,1559,4
22,12/31/14,4,91,85.8,97.6,1561,4
25,01/31/14,1,89,89.1,94.3,660,2
25,02/28/14,1,88,88.7,95.1,666,2
25,03/31/14,1,92,89.1,96.3,674,2
25,04/30/14,2,93,90.0,96.4,675,0
25,05/31/14,2,87,90.1,94.9,664,1
25,06/30/14,2,91,90.0,92.9,650,1
25,07/31/14,3,86,91.1,93.7,656,1
25,08/31/14,3,84,93.0,93.4,654,0
25,09/30/14,3,81,87.1,94.9,664,2
25,10/31/14,4,84,88.1,94.0,658,2
25,11/30/14,4,83,89.0,95.4,668,2
25,12/31/14,4,84,91.0,93.6,655,0
27,01/31/14,1,95,86.2,94.0,564,2
27,02/28/14,1,89,88.7,94.3,566,2
27,03/31/14,1,81,94.0,94.3,566,0
27,04/30/14,2,90,87.0,92.2,553,3
27,05/31/14,2,87,92.0,94.5,567,0
27,06/30/14,2,81,91.0,91.7,550,0
27,07/31/14,3,83,89.1,91.7,550,1
27,08/31/14,3,82,92.0,95.3,572,1
27,09/30/14,3,83,90.0,92.5,555,0
27,10/31/14,4,83,93.0,95.3,572,0
27,11/30/14,4,87,84.2,91.7,550,3
27,12/31/14,4,95,92.0,91.7,550,1
