Plant,Date,Quarter,Yield,Uptime,Throughput,TotalThroughput,Changeovers
10,01/31/14,1,94,89.0,94.6,473,1
10,02/28/14,1,81,94.0,94.6,473,0
10,03/31/14,1,84,90.0,91.0,455,1
10,04/30/14,2,94,90.0,92.0,460,0
10,05/31/14,2,86,88.1,94.8,474,1
10,06/30/14,2,83,87.7,93.6,468,2
10,07/31/14,3,91,87.1,90.6,453,1
10,08/31/14,3,93,84.9,90.4,452,3
10,09/30/14,3,81,93.0,93.2,466,0
10,10/31/14,4,93,89.0,94.6,473,1
10,11/30/14,4,81,91.8,90.6,453,1
10,12/31/14,4,86,89.0,93.0,465,1
14,01/31/14,1,84,84.3,94.7,663,3
14,02/28/14,1,81,85.6,95.4,668,3
14,03/31/14,1,84,86.2,93.9,657,3
14,04/30/14,2,90,87.0,93.0,651,3
14,05/31/14,2,81,91.0,96.1,673,2
14,06/30/14,2,83,87.9,93.7,656,3
14,07/31/14,3,86,89.1,94.9,664,1
14,08/31/14,3,88,92.0,93.7,656,1
14,09/30/14,3,94,86.0,94.4,661,3
14,10/31/14,4,81,89.1,94.4,661,1
14,11/30/14,4,93,87.0,96.0,672,3
14,12/31/14,4,81,86.2,95.0,665,3
15,01/31/14,1,93,89.0,96.2,962,3
15,02/28/14,1,88,85.2,95.5,955,4
15,03/31/14,1,82,88.1,97.2,972,5
15,04/30/14,2,81,89.6,96.7,967,1
15,05/31/14,2,89,87.6,96.5,965,4
15,06/30/14,2,86,88.7,96.6,966,1
15,07/31/14,3,95,90.9,97.5,975,3
15,08/31/14,3,85,93.6,95.3,953,1
15,09/30/14,3,89,84.6,97.4,974,6
15,10/31/14,4,91,89.0,96.8,968,3
15,11/30/14,4,93,87.3,96.1,961,2
15,12/31/14,4,91,88.7,96.9,969,1
17,01/31/14,1,81,92.0,96.4,964,0
17,02/28/14,1,93,87.6,96.8,968,1
17,03/31/14,1,91,87.8,96.6,966,1
17,04/30/14,2,82,80.5,97.3,973,5
17,05/31/14,2,94,87.8,95.0,950,1
17,06/30/14,2,90,86.5,95.0,950,2
17,07/31/14,3,87,81.8,97.4,974,5
17,08/31/14,3,81,89.8,96.0,960,1
17,09/30/14,3,92,85.1,95.8,958,3
17,10/31/14,4,95,91.7,95.6,956,1
17,11/30/14,4,94,88.7,96.4,964,1
17,12/31/14,4,93,87.8,95.3,953,1
22,01/31/14,1,91,87.2,97.3,1556,3
22,02/28/14,1,89,75.5,97.3,1557,6
22,03/31/14,1,88,80.0,97.4,1558,5
22,04/30/14,2,83,79.9,97.4,1559,6
22,05/31/14,2,94,81.3,97.2,1555,4
22,06/30/14,2,95,87.4,97.5,1560,2
22,07/31/14,3,84,87.2,98.3,1572,3
22,08/31/14,3,95,80.9,98.0,1568,5
22,09/30/14,3,90,81.9,97.9,1567,4
22,10/31/14,4,81,85.6,97.9,1566,2
22,11/30/14,4,83,79.1,97.0,1552,6
22,12/31/14,4,82,79.1,97.0,1552,5
25,01/31/14,1,95,91.1,95.0,665,1
25,02/28/14,1,91,87.9,95.6,669,1
25,03/31/14,1,93,85.3,95.7,670,3
25,04/30/14,2,84,92.0,94.0,658,1
25,05/31/14,2,83,88.1,96.1,673,2
25,06/30/14,2,93,88.0,93.3,653,2
25,07/31/14,3,87,91.0,95.9,671,2
25,08/31/14,3,91,87.2,93.4,654,2
25,09/30/14,3,94,90.0,94.3,660,0
25,10/31/14,4,86,88.1,94.4,661,1
25,11/30/14,4,90,90.0,94.9,664,0
25,12/31/14,4,83,87.2,93.9,657,3
27,01/31/14,1,91,88.1,93.7,562,2
27,02/28/14,1,94,90.8,93.0,558,1
27,03/31/14,1,84,88.1,94.0,564,1
27,04/30/14,2,92,86.1,92.5,555,2
27,05/31/14,2,95,95.0,95.7,574,0
27,06/30/14,2,92,86.0,95.7,574,3
27,07/31/14,3,81,93.0,91.7,550,1
27,08/31/14,3,82,85.3,94.3,566,3
27,09/30/14,3,86,92.0,95.8,575,0
27,10/31/14,4,90,84.3,95.8,575,3
27,11/30/14,4,94,87.1,93.8,563,2
27,12/31/14,4,86,91.0,92.3,554,2
